,,,,,,,,,,,
,47,"""Polícia fechou prostíbulo e prendeu nove mundanas""                            ",25/04/1969,Primeiro caderno ,A matéria não cita nenhum dado sobre as vítimas a não ser o fato de que elas eram prostitutas,"Recife, PE",Prostíbulo ,polícia; prostíbulo; prendeu; prêsas; mundanas; Delegacia de Costumes; pensão alegre; mulheres; cafitina; proprietária do prostíbulo; beber; desatinos; palavrões; desacatos; investigador; baderna; mulheres de vida fácil; xadrez; reclamações; comerciantes; famílias.  , objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência institucional (policial); violência moral; violência simbólica; preconceito e/ou violência  em função da atividade de prostituição; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69460
,48,"""Júri condena autor da morte da amante""",26/04/1969,Primeiro caderno ,A matéria não cita nenhum dado sobre a vítima a não ser o fato de que ela era amante do réu,"Recife, PE",Não fica claro ,Tribunal do Júri; condena; autor; morte; matou; amante; assassínio; mulher; lenço; pescoço; sangrou-a; réu; preso; crime; detenção; policiais, objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência doméstica e intrafamiliar; violência física; violência letal; violência simbólica; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69484
,49,"""Denunciado""",26/04/1969,Primeiro caderno ,A matéria não cita nenhum dado sobre a vítima a não ser o fato de que ela era amante do suspeito,"Recife, PE",Rua,"denunciado; promotor; Código Penal; mulher; assassinar; crime; agredir fisicamente, imobilizar; golpes; faca peixeira; morte; amasiados; revide; companheira; prêso; palavras ofensivas", hibridismo entre o discurso jornalístico e o policial/jurídico,violência doméstica e intrafamiliar; violência física; violência letal; violência simbólica; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69484
,50,"""Libidinagem""",26/04/1969,Diario Policial ,A matéria fala apenas que a vítima era menor de idade,"Recife, PE",Rua,libidinagem; ferimentos; agredido; agressor; tentava praticar atos indecorosos; menor; golpes,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência física (contra menor); violência sexual (contra menor); ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69484
,51,"""Ciúme""",26/04/1969,Diario Policial ,"A matéria menciona o nome, a idade da vítima (23 anos) e o fato de ela ser noiva do agressor, mas não fornece mais informações demográficas sobre ela","Recife, PE",Rua,"ciúme; agrediu; noiva; facadas; ferimento; região lombar. 
",objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência doméstica e intrafamiliar; violência física; violência simbólica; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69484
,52,"""Preconceitos homem-mulher""                  ",03/05/1969,Diario Feminino,"O texto comenta os estereótipos historicamente atribuídos aos gêneros feminino e masculino, sem analisar um caso específico ","Como não se trata de um caso específico, também não há um lugar específico de ocorrência do fato",Violência simbólica,preconceitos; homem; mulher; nômade; sedentária; ateu; religiosa; ativo; passiva;  egoísmo; devotamento aos outros; razão; emoção;  maturidade; infantilidade; comando; obediência; tranquilidade; nervosismo;  resistência; fatigabilidade; fortaleza; fragilidade; superada; reformulação radical; casamento; família; pessoas humanas,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência simbólica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69659
,53,"""Saragat fala de paz""                  ",06/05/1969,O mundo em síntese,"A notícia não cita o nome da mulher, mas diz que ela era napolitana, tinha 12 filhos e vivia em uma situação de miséria. Não há informações sobre a raça e a idade da vítima. ","Roma, Itália",Rua,paz; liberdade; estado; independência; garantia contra todo tipo de agressão; presidente; secretário geral; ONU; conflitos; ordem institucional; direitos fundamentais do homem; coexistência pacífica; palácio; rua; mulher napolitana; miséria; tentativa de suicídio; oito filhos; internada; estado grave. ,-,violência institucional; violência simbólica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69763
,54,"""Problemas que desafiam""                                 ",11/05/1969,Segundo caderno ,"A matéria fala apenas que a vítima se chamava Zezé e se refere a ela pejorativamente como uma ""mulher da vida fácil""","Recife, PE",Rua,casebres; famílias humildes; mulher da vida fácil; terror; mulher desbocada; embrigada; não respeita ninguém; Delegacia de Costumes; providência; tranquilidade , objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos, violência moral; violência simbólica; preconceito e/ou violência em função da atividade de prostituição,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69906
,55,"""Infidelidade""",13/05/1969,Diario Policial ,"Apenas o nome da vítima é citado no texto, que não traz mais nenhuma informação na matéria ","Recife, PE",Residência  ,infidelidade; policial; assassinou; espôsa; tiro; revólver; residência; delegado; testemunhas; flagrou; colóquio amoroso; mulher; levado pelo impacto emocional; fuga; filho menor. , objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência doméstica e intrafamiliar; violência simbólica; violência física; violência letal,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69953
,56,"""Delegado promete afastar buates do centro da cidade""",14/05/1969,Primeiro caderno,"O texto menciona os nomes de algumas das prostitutas/proprietárias de estabelecimentos de prostituição que serão intimadas pela polícia, mas não exibe mais nenhuma informação sobre elas","Recife, PE",Boate,delegado; afastar buates; cidade; medidas drásticas; depravação; desordens; bares; boites; mulher; proprietários; reclamações; intimados; autoridade; prostituição; policial; tráfico de escravas brancas; menores; traficantes. , objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),violência institucional; violência simbólica; preconceito e/ou violência  em função da atividade de prostituição.,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=69977
,57,"""Entêrro da vítima do soldado foi concorrido em Feira Nova"" ",21/05/1969,Primeiro caderno,"A matéria cita o nome da vítima, mas não fornece mais nenhuma informação sobre ela ","Feira Nova, PE",Residência ,entêrro; vítima; soldado; revólver; alcolizado; ameaça de morte; mulher; separado; militar; matar; maus tratos; marido; temido; péssimos antecedentes; crime; espôsa; sogro; sobrinho; vizinha; luta corporal; ferido; tiros; faleceu.,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurífico,violência doméstica e intrafamiliar; violência física; violência letal; violência psicológica; violência simbólica;,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70181
,58,"""Agrediu mulher""",21/05/1969,Primeiro caderno,"A matéria cita o nome da vítima, mas não fornece mais nenhuma informação sobre ela ","São Lourenço da Mata, PE",Não fica claro , agrediu; mulher; companheira; xadrez; autor de um homicídio; internada; infiel; mulher; traindo; calorosa discussão; peixeira; golpes; doméstica; prisão; delegacia. , objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino) ,violência doméstica e intrafamiliar; violência física;,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70181
,59,"""Denunciados""",21/05/1969,Diario Policial ,"A matéria cita o nome da vítima, mas não fornece mais nenhuma informação sobre ela ","Recife, PE",Pensão ,denúncia; promotor de justiça; Código Penal; lesões corporais; agredido; ferido; lâmina de barbear; mulher; discussão; vítima; deformação da face; exame pericial; inquérito; acusada; prêsa em flagrante; julgamento. , presença de requintes de crueldade no episódio; Hibridismo entre o discurso jornalístico e o policial/jurídico. ,violência física; violência simbólica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70181
,60,"""Grave esquecimento""",21/05/1969,O mundo em síntese ,"A matéria apresenta o nome, a idade (50 anos) e a naturalidade da vítima, mas não traz informações sobre sua raça ou classe social. ","Barranquilla, Colômbia",Hospital,esquecimento; grave; curativo de gaze; mulher; médicos; ventre; dôres nas pernas; operada; passa bem,-,violência física; violência no contexto de relações profissionais; violência moral ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70182
,61,"""Mulher ou guarda-comida?""                 ",21/05/1969,Diário Jcc,"O texto informa o nome da vítima, mas não fornece mais nenhuma informação sobre ela","Bom Retiro, Espírito Santo ",Residência  ,mulher; ladrão; engraçadinho; bilhete; retrato; matar o organismo dela; cacetadas; matou; lobisomem; avacalhado,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino) ,violência psicológica; violência moral; violência simbólica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70192
,62,"""Fio cai na calçada e mata professora de Casa Amarela""",22/05/1969,Primeiro caderno,"Duas vítimas no caso. Primeira vítima: mulher, 20 anos, professora e solteira. Segunda vítima: mãe da professora, 42 anos. Não há informações sobre a raça, a classe ou a naturalidade das vítimas  ","Recife, PE",Rua,descarga elétrica; fio; calçada; mata; morta; professora; solteira; mãe; contusões; escoriações,-,violência institucional; violência urbana; violência física; violência letal. ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70201 
,63,"""Fio cai na calçada e mata professora de Casa Amarela""",22/05/1969,Primeiro caderno,"Terceira vítima: menor com 16 anos, solteira, natural do Recife. ","Itapissuma, PE",Rua,menor; solteira; agredida; golpes de faca; policial; ferimentos contusos; região abdominal; internada; agressor; prêso ,-, violência física,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70201 
,64,"""72 mundanas presas ontem no aeroporto""",22/05/1969,Primeiro caderno,"Não há informações sobre as vítimas, a não ser o fato de que eram prostitutas. A matéria fala que algumas supostamente eram menores, mas não fornece detalhes sobre isso ","Recife, PE",Rua,mundanas; prêsas; mulheres; Delegacia de Costumes; xadrez; comissário; batidas; perambulando; bares; buates; inferninhos; investigadores; menores; rondas; caftinas; denúncias; viciados; puxar maconha; tomar psicotrópicos,moralização dos relatos; objetificação da mulher (sentimentos de posse e controle sobre o corpo feminino),Preconceito e/ou violência  em função da atividade de prostituição; violência simbólica; violência moral; violência institucional ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70201 
,65,"""Ciúmes""",24/05/1969,Diario Policial ,A única informação sobre a vítima é o seu nome ,"Recife, PE",Não fica claro ,"ciúmes; doméstica; agredida a face; agressor; contusões; escoriações; fazer compras
",objetificação da mulher (sentimentos de posse e controle sobre o corpo feminino); ,violência doméstica e intrafamiliar; violência física,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70246 
,66,"""Tribunal não julgou soldado por falta de jurados à sessão""",27/05/1969,Primeiro caderno ,A única informação sobre a vítima é o seu nome ,"Recife, PE",Residência ,Tribunal; soldado; jurados; réu; assassinou; espôsa; tiros; revólver; vítima; filha; casal; menor; discussão; arma; disparos; criança; prêso; julgamento.,"objetificação da mulher (sentimentos de posse e/ou de controle sobre o corpo feminino); Hibridismo entre o discurso jornalístico e o policial/jurídico
 ","violência doméstica e intrafamiliar; violência física; violência letal; violência simbólica;
 ",http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70372
,67,"""Tentou matar""",28/05/1969,Diario Policial ,"A matéria diz o nome da vítima, a sua idade (23 anos), diz que era casada e residente em Águas Compridas. ","Olinda, PE",Não fica claro,tentou matar; ferimento; abdomen; doméstica; casada; agredida a facadas; espôso; discussão; casal; mulher; estado grave; internada.,objetificação da mulher (sentimentos de posse e/ou de controle sobre o corpo feminino),violência doméstica e intrafamiliar; violência física,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70372
,68,"""Pronunciado""",04/06/1969,Diario Policial ,"A matéria apresenta apenas as iniciais do nome da vítima por se tratar de uma adolescente de 16 anos. Não há informações sobre a raça, a classe social e a naturalidade da vítima. ","Recife, PE",Rua,pronunciado; juiz; réu; assassinou; jovem; sedução; crime; acusado; faca peixeira; golpes; vítima; denunciado; polícia; casar; motivo torpe; Código Penal Brasileiro; homicídio qualificado; julgamento; Tribunal do Júri., objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino);  Hibridismo entre o discurso jornalístico e o policial/jurídico; moralização dos relatos,violência psicológica; violência sexual,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70603
,69,"""Faleceu""",04/06/1969,Diario Policial ,"Idade da vítima: ""aparentemente 55 anos"";   Raça/etnia: côr morena (sic)    Não há informações sobre o nome, a classe social e a naturalidade da vítima ","Recife, PE",Rua, faleceu; mulher; vestido branco; côr morena; morta; atropelada; lambreta; condutor do veículo; fugiu. ,hibridismo entre o discurso jornalístico e o policial/jurídico,Violência física; violência letal; violência contra pessoa negra ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70603
,70,"""Agente libera mundana que DOPS deteve sob muito sigilo"" ",07/06/1969,Primeiro caderno ,"As únicas informações que a matéria traz sobre a vítima são o seu nome e o fato de ela ser uma ""mundana""","Recife, PE",Rua,Agente; mundana; DOPS; deteve; sigilo; mulher; matadores; delegado; abordada; amigo; rapaz; apavorada; emocionada; amedrontá-la; forçando-a a sair em sua companhia; depoimento; cartório; temia represálias ,moralização dos relatos ,violência psicológica; Preconceito e/ou violência em função da atividade de prostituição; violência simbólica ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70667
,71,"""Homicídio""",11/06/1969,Diario Policial ,"A matéria informa apenas o nome da vítima, mas não fala sobre sua idade, ocupação, raça ou classe social  ","Amaraji, PE",Não fica claro ,homicídio; promotor; comarca; inquérito; assassinato; mulher; profundos ferimentos; navalha; queimaduras de 3º grau; escoriações em diversas partes do corpo; povoado; município,hibridismo entre o discurso jornalístico e o policial/jurídico ,Violência física; violência letal,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70798
,72,"""Castigo merecido""                        ",11/06/1969,Primeiro caderno,"A matéria se refere às vítimas como ""senhoras e mocinhas"", mas não especifica suas idades e suas demais características ","Recife, PE",Rua,castigo merecido; solteiro; preso; importunação; senhoras; mocinhas; trancafiado; xadrez; comissário; maus costumes; Dom Juan,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência moral; violência psicológica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70798
,73,"""Delegado de Costumes casa menores dando conselhos""                              ",14/06/1969,Primeiro caderno,"Segundo a matéria, a maioria das vítimas do crime de sedução são meninas menores de 18 anos pobres ","Recife, PE",Não fica claro  ,sedução; Delegado de Costumes; dando conselho; ameaçando; casa menores; casar; juiz; padre; jovens; matrimônio no civil e no religioso; menores; pobres; famílias; discordam; conversa informal; diálogo; convidado; padrinho; crianças; culpados; pais. , objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência simbólica; violência psicológica; violência moral; violência sexual; violência institucional; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=70866
,74,"""Atropelamento""",20/06/1969,Diario Policial ,"A matéria afirma que três mulheres foram vítimas de atropelamento. Uma delas, que era viúva, faleceu e as outras duas sofreram ferimentos com a batida. Não há informações adicionais sobre raça, classe social ou idade das vítimas ","Recife, PE",Rua,atropelamento/atropelou; alta velocidade; matou; viúva; motorista; fugiu; ferimentos.,- ,violência física; violência letal,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=71051
,75,"""Gang do entorpecente está ameaçando de morte amante de Rogério Matos""                             ",22/06/1969,Capa,"A matéria cita o nome da vítima e o fato de ela ser ""amante"" de um homem que está preso  ","Recife, PE",Não fica claro,gang do entorpecente; ameaçada de morte; amante; juiz; comissão judiciária; diligências; suspeitos; assassinato; prisão; maconheiro; corda; mistério; acareação; depoimento; bárbaro trucidamento; assassínio; magistrado; mulher; viciados; perigo; delatora; traidores; crime; submundo; acusado; fúria; tóxicos; seviciava mendigos; brutalizava mulheres; interrogada; advogado. ,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino);  Hibridismo entre o discurso jornalístico e o policial/jurídico,violência psicológica; violência sexual; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=71096
,76,"""Até o dia 1º, diligências estarão concluídas, afirma o juiz Xavier""",22/06/1969,Primeiro caderno ,Mesma vítima da matéria anterior. A matéria só menciona seu nome e o fato de ela ser amante de Rogério.,"Recife, PE",Não fica claro ,diligências; juiz; inquérito; trucidamento; Padre Henrique; crime/criminoso; assassínio; vítima; suspeito; indiciado; “elemento periculoso e frio”; chacina; ameaçada; amante; “ser apagada”; garantias de vida; traíra; perigoso; submundo; delatores; silenciados. ,violência psicológica; Hibridismo entre o discurso jornalístico e o policial/jurídico; bestialização do autor da violência; comoção social e reivindicações por justiça.,,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=71103
,77,"""Sob a ação de entorpecentes, espancava medigos e brutalizava mulheres""",22/06/1969,Primeiro caderno ,"Vítimas: mulheres que teriam sido violentadas em Olinda e na Várzea, mas sobre as quais não havia mais nenhuma informação ","Recife e Olinda, PE",Não fica claro,entorpecentes; espancava mendigos; brutalizava mulheres; interrogatório; elemento calculista e impenetrável; Comissão Judiciária de Inquéritos; acareado; viciado; acusações; sanha criminosa; arrogante; seviciados; curraram mulheres; portador de enfermidade mental; gestos calculados; feições inalteráveis; periculoso; monstruosidade,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurídico; moralização dos relatos ,violência sexual; violência física,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=71103
,78,"""Ateou fogo no berço com os dois filhos"" ",08/07/1969,Primeiro caderno ,"Vítimas: espôsa do agressor, cujo nome é citado na matéria, e os filhos do casal, uma menina de cinco anos e um menino de três. Não há mais informações sobre as vítimas ","São Paulo, SP",Residência ,ateou fogo; berço; filhos; xadrez; tentou matar; crianças; gravemente queimadas; mãe; ébrio contumaz; bebidas; família; ameaça; atentou contra as vidas dos familiares; exterminar a família; facas; mulher; gritos; marginal; prisão; polícia; pretendia eliminar a família,Hibridismo entre o discurso jornalístico e o policial/jurídico,violência doméstica e intrafamiliar; violência psicológica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=71568
,79,"""Sargento que chamou mulher de 'elefante' é condenado à prisão""",10/07/1969,Capa ,"A matéria menciona apenas o nome da vítima, mas não fornece informações sobre sua raça, classe social e idade","Belo Horizonte, MG",Bar,sargento; chamou mulher de elefante” condenado; prisão; sentença; pena; denunciado; Promotoria de Justiça; Código Penal Militar; galanteios ofensivos; dignidade pessoal; propostas indecorosas; senhora; mulher; bebido; militar; massacrado; bar; polícia.,Hibridismo entre o discurso jornalístico e o policial/jurídico,violência moral; violência simbólica ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=71615
,80,"""Prêso em flagrante estufador que assassinou a amante na Bôa Idéia""",11/07/1969,Primeiro caderno,"A matéria menciona apenas o nome da vítima, mas não fornece informações sobre sua raça, classe social e idade","Recife, PE",Residência ,prêso; flagrante; assassinou; amante; peixeiradas; faca; crime; inquérito; Delegacia de Homicídios; alcoólatras; discussão; casal; bebida alcoólica; aguardente; matou; companheira; furtos; acusado.,hibridismo entre o discurso jornalístico e o policial/jurídico; objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),violência doméstica e intrafamiliar; violência física; violência letal,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=71666
,81,"""Mulheres""",11/07/1969,Diario Policial ,"A matéria não menciona os nomes das vítimas. Apenas diz que elas são ""mariposas""","Recife, PE",Rua,mulheres; moradores; sérios vexames; mariposas; denúncia; perambular pelas ruas; cometem desatinos,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,Preconceito e/ou violência em função da atividade de prostituição; violência simbólica; violência moral ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=71666
,82,"""Liberdade e igualdade, mas não para a mulher""                        ",14/07/1969,Diario Feminino,não há vítimas específicas ,,Violência simbólica,liberdade; igualdade; mulher; meninas; menos igual; educação; homem; casamento; casada; redentor; fidelidade; espôsa; docilidade; admiração; hibernação.,objetificação da mulher (Sentimentos de posse e controle sobre o corpo feminino); moralização dos relatos ,violência simbólica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=71717
,83,"""Advogados restauram processo contra suspeito-criminoso""",15/07/1969,Primeiro caderno,"A matéria fala apenas que a vítima era menor de idade quando crime foi praticado e cita o seu nome, não fornecendo mais informações sobre ela ","Recife, PE",Não fica claro,advogados; restauram; pediram restauração; processo; suspeito-criminoso; acusado; crime; estupro; autos desaparecidos; peça judicial; promotor; Vara Criminal; prisão preventiva; menor ofendida; assistente de acusação; moça; mulher; depoimento; inquérito; honra da filha; dinheiro; carta. ,Hibridismo entre o discurso jornalístico e o policial/jurídico; moralização dos relatos ,violência sexual (contra menor); violência moral,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=71820
,84,"""Prêso no interior perigoso homicida que estava foragido""",15/07/1969,Primeiro caderno,"Há duas vítimas na matéria:  uma mãe de 32 anos e sua filha, de 7 anos. O texto afirma que ambas tinham a cor morena e eram naturais de Águas Belas","São Bento do Una, PE",Matagal ,prêso; perigoso; homicida; foragido; autoridades policiais; morte; doméstica; filha; cor morena; crimes; menor de idade; criminoso; ferimentos; cadáver; estrupada; matagal; mulher; menina; homem; confissão; meretrício; ciumenta; ameaçou de morte; discussão; criança; assassinou,objetificação da mulher (sentimentos de posse e controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurídico, violência doméstica e intrafamiliar; violência física; violência letal; violência sexual (contra menor),http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=71820
,85,"""Homem livre, mulher livre""                          ",18/07/1969,Diario Feminino,"A matéria não fala de um caso particular de violência e, sim, de um quadro geral de subalternização das mulheres, portanto não há vítimas específicas ",,Violência simbólica,homem; mulher; livre; dignidade; altivez; honra; independência; discriminação; respeitáveis senhoras; mulher sexualmente generosa; joguete dos próprios instintos; escárnio social; liberdade; libertinagem; liberdade sexual; sexo; objeto; livro ,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); moralização dos relatos,violência simbólica; violência moral ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=71904
,86,"""Senador Ted Kennedy condenado à pena de dois meses de prisão""                        ",26/07/1969,Capa,"Vítima: secretária do Senador Robert Kennedy, com 29 anos e ruiva","Massachusetts, Estados Unidos",Carro ,Senador; condenado; prisão; acidente; secretária; ruiva; interrogatório; tribunal; polícia; acusação; festa; queda do automóvel; bebida; investigação; imprensa; política; autópsia; custou a vida; culpado; encarceramento; justiça. ,Hibridismo entre o discurso jornalístico e o policial/jurídico,violência física; violência letal; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=72139
,87,"""Funcionário da CTU matou espôsa com tiro no olho"" ",30/07/1969,Primeiro caderno,"A matéria cita o nome da vítima, diz que ela tinha 30 anos e era doméstica","Recife, PE",Residência ,matou; tiro no olho; revólver; espôsa; mulher; doméstica; ensinava; delegado; prendeu; acusado; pediu socorro; vítima; policial; diligências ,Hibridismo entre o discurso jornalístico e o policial/jurídico,violência doméstica e intrafamiliar; violência física; violência letal ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=72285
,88,"""Polícia prendeu suspeito da morte de doméstica""",30/07/1969,Primeiro caderno,"A matéria cita o nome da vítima, diz que ela tinha 30 anos, era viúva e amante do acusado","Jaboatão dos Guararapes, PE",Residência ,polícia; suspeito; prendeu; prêso; morte; doméstica; comissário; acusado; amante; faca; ciúmes; residência; vítima; discussão; policial. ,objetificação da mulher (sentimentos de posse e controle sobre o corpo feminino),violência doméstica e intrafamiliar; violência física; violência letal; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=72286
,89,"""Viajante que matou técnico da Sudene irá a julgamento""                         ",07/08/1969,Primeiro caderno,"Neste caso, a vítima da morte é o amante da esposa do assassino. Sobre a esposa, apenas o seu nome é citado, mas não há informações sobre a raça, a idade e a naturalidade da mulher ","Recife, PE",Carro,viajante; matou; julgamento; assassinou; colóquios amorosos; espôsa; Tribunal do Júri; apelação; sentença; absolvição; juiz de homicídio; legítima defesa da honra; desembargador; Procurador Geral de Justiça; mandado de prisão; infidelidade; marido; traído; rival; insultos; revólver; amante; crime; advogado; entregou-se,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurídico; moralização dos relatos ,violência doméstica e intrafamiliar; violência simbólica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=72517
,90,"""Continua foragido autor do crime de Casa Amarela""",07/08/1969,Primeiro caderno,"Vítimas: esposa, sogra, filha e concunhado do acusado. Seus nomes são citados no texto, mas não há mais informações sobre eles ","Recife, PE",Residência  ,foragido; autor; crime; diligências; Delegacia de Homicídios; acusado; assassinado; revólver; casa; doméstica; briga; genro; discussão; tentara contra a vida da espôsa; menor; filha; irmã; mãe; confusão; agredido; tiros; concunhado.,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),violência doméstica e intrafamiliar; violência física; violência letal; violência psicológica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=72517
,91,"""Ainda o caso Kennedy""",09/08/1969,O mundo em síntese,A matéria cita apenas o nome da vítima ,Estados Unidos ,Carro ,Caso Kennedy; amigo; desmentiu; Senador; assumisse a responsabilidade; acidente; pereceu; mulher; cronistas; desmentido; salvar; jovem; consequências; comunicação; polícia; excesso de velocidade. ,-,violência física; violência letal,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=72566
,92,"""Assassinada estrêla de cinema"" ",10/08/1969,Capa,"Duas mulheres vítimas: uma atriz de cinema, que estava grávida, a Sharon Tate, e uma ""rica herdeira"". Fora o fato de serem ricas, não há mais informações sobre as vítimas  ","Los Angeles, Estados Unidos",Residência ,assassinada; estrêla do cinema; atriz; espôsa; diretor; homens; mulher; luxuosa; mansão; policiais; espetáculo dantesco; corda no pescoço; amarrada; morte; enforcamento; charco de sangue; mortos; fugir; assassino; vítimas; porcos; herdeira.,hibridismo entre o discurso jornalístico e o policial/jurídico ,violência física; violênca letal; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=72590
